id,external_id,name,name_short_display,description,website,is_organic,status,street_address,locality,region,postal_code,phone,latitude,longitude,is_closed,is_primary,open_to_public,location_type,location_type_display,country_iso_code,update_date,create_date,created_at,updated_at
1,DBkLHq,"Boothbay Craft Brewery, Inc",Boothbay Craft,The 1st brewery in the Boothbay Region. Our idea is to let the locals become a part by donating trees so we can saw them into beams for the brewery! Got wood?,http://www.boothbaycraftbrewery.com,N,verified,301 Adams Pond Rd,Boothbay,Maine,04537,217-633-3411,43.8807856,-69.6331261,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
2,nkRssU,Urban Legend Brewing Company,Urban Legend,"Urban Legend Brewing Company makes unique beers the traditional way. Beer is our passion. We believe that our beer can make the world and our local community a better place! We use only the highest quality ingredients and make small batches to ensure that we supply our community with the purest, freshest, highest quality beer possible. Our goal is to support local businesses and American manufacturing wherever possible. We are committed to recycling, reusing, and reducing our carbon footprint while at the same time making unique beers for discerning beer lovers and craft beer newbies. We will think local and will contribute to the local economy. The beer we produce will be available in our brewery and at local bars, restaurants and liquor stores. Fresh beer always tastes the best! Pints in the taproom, growlers to go, and small scale, local distribution is our way of ensuring our product is in its prime when it gets to your glass. We have a number of staple beers on draught plus we will be providing a rotating line of seasonal and specialty brews. We love to rediscover ancient beer recipes as well as spend a lot of time developing a unique styles. As we say.....Great Beer, Born Here.",http://www.urbanlegendbrewing.com,N,verified,1115 Zygmunt Circle,Westmont,Illinois,60559,(630) 442-7684,41.7759361,-87.9817352,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
3,H8jawh,Working Man Brewing Company,Working Man,"Working Man Brewing is Livermore’s newest brewery, located at 5542 Brisa Street, just off of Vasco Road. Getting the brewery up and running has been a labor of love for the owners, taking the better part of 18 months to turn the space into a full production brewery. We are excited to finally bring our love of beer and commitment to quality to Livermore, the Tri-Valley, and beyond. Our story is one of two independent breweries, Mt. Diablo Brewing and Working Man Brewing Company, coming together to work on one common goal. Both companies were founded by award-winning home brewers who have a passion to bring high quality, well crafted beer that is fresh and local. A chance meeting brought these working men together; a shared vision now combines forces under one name, Working Man Brewing Company. The company’s brewers have each have spent years working to perfect great beer recipes. Beer geeks at heart, both will tinker and tweak the ingredients until the product is just right. The main goal always being to make a beer they could be proud to share and proud to drink. We never let a beer go out the door that we don’t believe in.",http://www.workingmanbrewing.com/,N,verified,5542 Brisa Street,Livermore,California,94550,(925) 269-9622,37.697526,-121.725189,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
4,GmYAZI,Wrecking Bar Brewpub,Wrecking Bar Brewpub,The most exciting new brewpub in Atlanta! A cornerstone of both Little Five Points and Inman Park at the corner of Moreland and Austin Ave. Brewpub on lower level facing Austin.,http://www.wreckingbarbrewpub.com/,N,verified,292 Moreland Avenue NE,Atlanta,Georgia,30307,(404) 221-2600,33.763276,-84.349233,N,Y,Y,brewpub,Brewpub,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
5,snQlvg,10 Barrel Brewing Company,10 Barrel,"We started back in 2006 with three guys and one simple vision.. brew beer, drink beer and have fun doing it. Since then we have grown but our focus will always stay the same... Rough morning? Grab a beer. Powder day? The ""gone skiing"" sign goes up. Too hot to work? Mandatory company float. You get the picture... here's to living it up with a beer in hand!",http://www.10barrel.com/,N,verified,826 West Bannock Street,Boise,Idaho,83702,(208) 344-5870,43.617859,-116.202689,N,Y,Y,brewpub,Brewpub,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
6,YG37Js,Dickersbach Brewing Company,Dickersbach,"A long long time ago, in a far away place called North Carolina it all started. My great friend, and then neighbor, Randy and I decided it was time to start brewing beer since we could not longer get our then favorite brew in the stores. Our first beer was aptly named ""Girly Beer"" and was light and refreshing. From there the brews continued until we were out of storage space. Our paths separated, but we each continued brewing. My brother Mike, soon took to brewing also and has been an avid brewer for many years now. Background experience comes from homebrewing, being head brewer at Hal and Mal's in Jackson, MS, and head brewer at Riverhorse, in Lambertville, NJ.",http://www.dickersbachbrewing.com/,N,verified,"",Yardley,Pennsylvania,"","",40.245664,-74.8459972,N,Y,N,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
7,S3V7kw,Cellar Dweller,Cellar Dweller,"Cellar Dweller was conceived on a warm summer evening overlooking the vineyards at the Schuchter Family home. Following dinner and enjoying our wines, we realized we were forced to turn elsewhere for the beer. We at Valley Vineyards have created this line of craft beers for our family and friends. So please … enjoy!",http://www.valleyvineyards.com/,N,verified,2276 E. U.S. 22-3,Morrow,Ohio,45152,(513) 899-2485,39.3566007,-84.1726248,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
8,sNQLDD,One Barrel Brewing,One Barrel,"Madison's smallest brewery opened on Friday, July 6 2012. One Barrel Brewing Company is at the intersection of Atwood and Winnebago streets, a.k.a. Schenk's Corners, it's like a coffee shop, only with beer instead of coffee"". With a staple of No. 2 Strong Ale, other usual suspects include Penguin Pale Ale (a Belgian pale ale), and The Commuter (a Kölsch-style ale), but the small brew system will allows up to 10 beers on tap at a time, constant rotation of new brews.",http://onebarrelbrewing.com,N,verified,2001 Atwood Ave.,Madison,Wisconsin,53704,"",43.091754,-89.355028,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
9,qIqpZc,Magic Hat Brewing Company,Magic Hat,"The Saturnalian Saga of Magic Hat began in 1994 when our first batch of beer was brewed in a funky little space on Flynn Avenue, in Burlington, Vermont. Dozens of beers and a brewery later, the Vermont brewery finds itself reaching more than 30 states with its unique take on classic styles. Magic Hat continues to be a leader in craft beer and is currently the only craft brewer putting a performance in every bottle.",http://www.magichat.net/,N,verified,5 Bartlett Bay Road,South Burlington,Vermont,05403,1-802-658-2739,44.428405,-73.213148,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
10,nE0YCy,Ohana Brewing Co,Ohana,"To handcraft innovative beers with unique and complex tastes; to make a positive impact in our community. Ohana Brewing Company is an artisanal brewery in the heart of Los Angeles. Our slogan is ""A fresh face in beer!"" Although our production is ultra-small we will pursue a number of strategies to stand out in the craft brewing industry. Our mission is to brew innovative beers with unique and complex tastes - not to just copy what the competition is doing. To that end we are committed to avoiding ""repeatability"" - i.e. we will not brew any beer more than once in our first full year of operation, i.e. no recipe will be duplicated.",http://www.ohanabrew.com/,N,verified,1756 E 23rd St,Los Angeles,California,90058,626-416-8491,34.0157277,-118.2410937,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
